id,name,twitter,company_id,channel,created_at,updated_at
1,月ノ美兎,MitoTsukino,2,UCD-miitqNY3nyukJ4Fnf4_A,2020/5/5 0:12,2020/5/5 0:12
2,本間ひまわり,honmahimawari,2,UC0g1AE0DOjBYnLhkgoRWN1w,2020/5/5 0:12,2020/5/5 0:12
3,笹木咲,saku_sasaki,2,UCoztvTULBYd3WmStqYeoHcA,2020/5/5 0:12,2020/5/5 0:12
4,鈴原るる,lulu_suzuhara,2,UC_a1ZYZ8ZTXpjg9xUY9sj8w,2020/5/5 0:12,2020/5/5 0:12
5,椎名唯華,yuika_siina,2,UC_4tXjqecqox5Uc05ncxpxg,2020/5/5 0:12,2020/5/5 0:12
6,樋口楓,Higuchikaede,2,UCsg-YqdqQ-KFF0LNk23BY4A,2020/5/5 0:12,2020/5/5 0:12
7,リゼ・ヘルエスタ,Lize_Helesta,2,UCZ1xuCK1kNmn5RzPYIZop3w,2020/5/5 0:12,2020/5/5 0:12
8,アンジュ・カトリーナ,ange_katrina_,2,UCHVXbQzkl3rDfsXWo8xi2qw,2020/5/5 0:12,2020/5/5 0:12
9,夢月ロア,yuzuki_roa,2,UCCVwhI5trmaSxfcze_Ovzfw,2020/5/5 0:12,2020/5/5 0:12
10,静凛,ShizuRin23,2,UC6oDys1BGgBsIC3WhG1BovQ,2020/5/5 0:12,2020/5/5 0:12
11,竜胆尊,rindoumikoto,2,UCPvGypSgfDkVe7JG2KygK7A,2020/5/5 0:12,2020/5/5 0:12
12,鷹宮リオン,takamiyarion,2,UCV5ZZlLjk5MKGg3L0n0vbzw,2020/5/5 0:12,2020/5/5 0:12
13,シスター・クレア,sistercleaire,2,UC1zFJrfEKvCixhsjNSb1toQ,2020/5/5 0:12,2020/5/5 0:12
14,える,elu_world,2,UCYKP16oMX9KKPbrNgo_Kgag,2020/5/5 0:12,2020/5/5 0:12
15,天宮こころ,amamiya_kokoro,2,UCkIimWZ9gBJRamKF0rmPU8w,2020/5/5 0:12,2020/5/5 0:12
16,ときのそら,tokino_sora,3,UCp6993wxpyDPHUpavwDFqgg,2020/5/5 0:12,2020/5/5 0:12
17,さくらみこ,sakuramiko35,3,UC-hM6YJuNYVAmUWxeIr9FeA,2020/5/5 0:12,2020/5/5 0:12
18,白上フブキ,shirakamifubuki,3,UCdn5BQ06XqgXoAxIhbqw5Rg,2020/5/5 0:12,2020/5/5 0:12
19,夏色まつり,natsuiromatsuri,3,UCQ0UDLQCjY0rmuxCDE38FGg,2020/5/5 0:12,2020/5/5 0:12
20,赤井はあと,akaihaato,3,UC1CfXB_kRs3C-zaeTG3oGyg,2020/5/5 0:12,2020/5/5 0:12
21,湊あくあ,minatoaqua,3,UC1opHUrw8rvnsadT-iGp7Cg,2020/5/5 0:12,2020/5/5 0:12
22,癒月ちょこ,yuzukichococh,3,UC1suqwovbL1kzsoaZgFZLKg,2020/5/5 0:12,2020/5/5 0:12
23,百鬼あやめ,nakiriayame,3,UC7fk0CB07ly8oSl0aqKkqFg,2020/5/5 0:12,2020/5/5 0:12
24,戌神ころね,inugamikorone,3,UChAnqc_AY5_I3Px5dig3X1Q,2020/5/5 0:12,2020/5/5 0:12
25,不知火フレア,shiranuiflare,3,UCvInZx9h3jC2JzsIzoOebWg,2020/5/5 0:12,2020/5/5 0:12
26,白銀ノエル,shiroganenoel,3,UCdyqAaZDKHXg4Ahi7VENThQ,2020/5/5 0:12,2020/5/5 0:12
27,宝鐘マリン,houshoumarine,3,UCCzUftO8KOVkV4wQG1vkUvg,2020/5/5 0:12,2020/5/5 0:12
28,兎田ぺこら,usadapekora,3,UC1DCedRgGHBdm81E1llLhOQ,2020/5/5 0:12,2020/5/5 0:12
29,潤羽るしあ,uruharushia,3,UCl_gCybOJRIgOXw6Qb4qJzQ,2020/5/5 0:12,2020/5/5 0:12
30,星街すいせい,suisei_hosimati,3,UC5CwaMl1eIgY8h02uZw7u8A,2020/5/5 0:12,2020/5/5 0:12
31,AZKi,AZKi_VDiVA,3,UC0TXe_LYZ4scaW2XMyi5_kw,2020/5/5 0:12,2020/5/5 0:12
32,綺羅星ウタ,uta_kirahoshi,4,UCX2Sm8SGWTUOyCizgrzadXA,2020/5/5 0:12,2020/5/5 0:12
33,琴みゆり,miyuri_koto,4,UCBe_jjkUHhVNAj46bukAbJA,2020/5/5 0:12,2020/5/5 0:12
34,獅子神レオナ,LeonaShishigami,4,UCB1s_IdO-r0nUkY2mXeti-A,2020/5/5 0:12,2020/5/5 0:12
35,花鋏キョウ,Kyo_Hanabasami,4,UC4OeUf_KfYRrwksschtRYow,2020/5/5 0:12,2020/5/5 0:12
36,姫熊りぼん,sb_ribon_,4,UC6HjtF2rHZO8gAsX5FXF-Kg,2020/5/5 0:12,2020/5/5 0:12
37,皇噛ユカリ,yukari_kogami,4,UCt0F29rrrkOU5Vu2gyYgrBA,2020/5/5 0:12,2020/5/5 0:12
38,湊音みなみ,_MinatoMinami,4,UCyTw66xE5YkeTL2YduA69QQ,2020/5/5 0:12,2020/5/5 0:12
39,唯牙コハク,kohaku_yuiga,4,UCf6J4I7NwMXtuIU8YZKAjCA,2020/5/5 0:12,2020/5/5 0:12